,RegionName,City,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
3182,90017,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859615.0,838500.0,828500.0,816000.0,849999.0,849999.0,849499.5,864615.0,880230.0,864615.0,849000.0,848000.0,859115.0,858800.0,829000.0,822500.0,820000.0,836000.0,828900.0,833500.0,838000.0,884115.0
3256,91352,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395000.0,380000.0,350000.0,375000.0,389900.0,399990.0,415000.0,415000.0,435000.0,432500.0,429995.0,430000.0,407000.0,386999.0,395593.0,383300.0,399000.0,399950.0,424950.0,416000.0,417000.0,429000.0,421000.0,419000.0,427000.0,409250.0,419900.0,434950.0,434972.5,449900.0,462000.0,462000.0,469000.0,462000.0,450000.0,459950.0,450000.0,477000.0,470000.0,472500.0,484487.0,499000.0,495000.0,500005.0,542000.0,519000.0,525000.0,495000.0,499900.0,499950.0,507449.5
3259,91356,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899950.0,947000.0,998500.0,977499.5,984500.0,969000.0,899000.0,875000.0,977500.0,995000.0,914500.0,889500.0,869500.0,904999.5,849950.0,949000.0,1000000.0,999000.0,995000.0,1099000.0,999000.0,1075000.0,1024499.5,954000.0,927000.0,975000.0,1149000.0,1141950.0,1177000.0,1175000.0,1149999.0,1099000.0,1149999.0,1192000.0,1187000.0
3324,90031,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439000.0,445250.0,428200.0,400000.0,429000.0,449000.0,444500.0,422500.0,425000.0,424000.0,381500.0,399000.0,414450.0,448888.0,448888.0,434500.0,414450.0,445844.0,448888.0,477000.0,430000.0,442500.0,430000.0,414950.0,399000.0,419950.0,399000.0,432000.0,414000.0,449000.0,469900.0,498947.0,499000.0,499000.0,549000.0,547000.0,499000.0,567000.0,565000.0,595995.0,554999.5,559999.0,565000.0,577000.0,565000.0,588944.0,687000.0,687000.0,600000.0
4052,91364,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736797.5,749000.0,749000.0,725000.0,699949.5,724500.0,740500.0,748500.0,795000.0,799000.0,785000.0,787450.0,764450.0,785000.0,785000.0,772000.0,790000.0,799000.0,799000.0,799000.0,815000.0,845950.0,859000.0,869000.0,864500.0,874999.0,892500.0,866500.0,849725.0,844500.0,875000.0,898000.0,850000.0,899000.0,869000.0,854500.0,849950.0,849975.0,862620.0,884450.0,859000.0,869000.0,889000.0,888000.0,879500.0,899999.5,939000.0,949000.0,929000.0,929000.0,929000.0
4065,90041,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637900.0,624900.0,599000.0,599000.0,650000.0,689000.0,699000.0,699000.0,697000.0,649000.0,624000.0,654000.0,668000.0,675000.0,699000.0,699000.0,700000.0,739000.0,719000.0,749499.5,779000.0,769000.0,749000.0,699000.0,699450.0,714500.0,719000.0,749944.0,754500.0,795500.0,750000.0,750000.0,739475.0,724000.0,724000.0,800000.0,854000.0,849750.0,799888.0,787000.0,798000.0,796250.0,799700.0,826500.0,799250.0,860000.0,799700.0,829000.0,849950.0,842450.0,889000.0
4091,90059,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224999.5,220000.0,226950.0,243400.0,237000.0,239000.0,246500.0,249000.0,248500.0,239250.0,250000.0,249900.0,249500.0,249000.0,250000.0,252500.0,250000.0,252350.0,249000.0,254900.0,257500.0,265000.0,280000.0,282450.0,279950.0,289495.0,290000.0,290000.0,291000.0,290000.0,299999.0,299900.0,307000.0,309999.0,320000.0,319450.0,319900.0,310000.0,310000.0,325000.0,328500.0,334950.0,335000.0,335000.0,340000.0,347000.0,355000.0,350000.0,356000.0,350000.0,350000.0
4101,90015,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629750.0,629000.0,597000.0,641500.0,649000.0,688000.0,630000.0,588500.0,599000.0,599000.0,634500.0,649500.0,644000.0,649000.0,639000.0,644000.0,643500.0,669000.0,683000.0,680000.0,674500.0,660000.0,694000.0,715000.0,719000.0,721500.0,699450.0,699000.0,696500.0,679000.0,679000.0,761950.0,725000.0,720000.0,724950.0,769000.0,749900.0,749950.0,772000.0,749950.0,748950.0,780000.0,788000.0,799000.0,789500.0,799000.0,814500.0,799000.0,815499.5,749950.0,765000.0
4201,91042,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449000.0,456000.0,450000.0,465000.0,462500.0,469750.0,465000.0,495000.0,515000.0,510000.0,515000.0,515000.0,525000.0,515000.0,525000.0,494000.0,505000.0,519000.0,499250.0,499000.0,499000.0,499900.0,499900.0,522449.5,539450.0,549950.0,549450.0,538500.0,538500.0,545000.0,530000.0,549000.0,540000.0,529000.0,538500.0,539935.0,540000.0,547000.0,540000.0,569900.0,599000.0,600000.0,597000.0,566000.0,583000.0,589000.0,567482.5,560000.0,548800.0,577000.0,569000.0
4278,91602,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632450.0,635000.0,635000.0,637000.0,619000.0,599000.0,675000.0,629950.0,668499.5,622475.0,693000.0,687000.0,644500.0,599999.0,650000.0,622500.0,625000.0,678000.0,625000.0,699000.0,670000.0,689000.0,649000.0,649000.0,675000.0,675000.0,654500.0,649000.0,624250.0,649000.0,675000.0,699000.0,732444.0,720444.0,707450.0,719000.0,725000.0,762000.0,799000.0,874489.0,799000.0,774000.0,794000.0,799499.5,763000.0,777000.0,807000.0,780000.0,889500.0,890000.0,949000.0,979999.0
